epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,205.018,0.59199,0.70956,0.44125,0.96306,0.92334,0.93135,0.91551,0.62917,0.92003,0.89857,0.89857,0.57779,0.85725,0.82626,0.62204,1.11868,0.000557,0.000557,0.000557
86,207.398,0.63719,0.76541,0.45605,0.97492,0.9364,0.9607,0.95178,0.59541,0.8403,0.86477,0.84654,0.56007,0.94544,0.83398,0.61688,1.17721,0.00054875,0.00054875,0.00054875
87,209.773,0.66365,0.76195,0.4885,0.99626,0.90011,0.95201,0.94557,0.6438,0.82536,0.87956,0.83793,0.57197,0.86683,0.80866,0.5666,1.12295,0.0005405,0.0005405,0.0005405
88,212.154,0.62674,0.79826,0.4663,0.97877,0.89295,0.92736,0.94571,0.6624,0.89725,0.83604,0.89428,0.61745,0.82608,0.77744,0.58332,1.10189,0.00053225,0.00053225,0.00053225
89,214.553,0.61997,0.72823,0.46029,0.96909,0.8922,0.93543,0.94799,0.65008,0.88926,0.84943,0.89532,0.59804,0.8219,0.78864,0.58112,1.10445,0.000524,0.000524,0.000524
90,216.949,0.60737,0.74054,0.45432,0.9703,0.92419,0.97952,0.96427,0.6844,0.85138,0.90724,0.88439,0.61698,0.80393,0.76611,0.53813,1.09872,0.00051575,0.00051575,0.00051575
91,219.336,0.59072,0.76823,0.44376,0.96153,0.93076,0.98199,0.96588,0.67467,0.87105,0.88598,0.88522,0.63602,0.81393,0.75281,0.52674,1.10273,0.0005075,0.0005075,0.0005075
92,221.72,0.62539,0.76325,0.45167,0.96919,0.94474,0.98413,0.96417,0.68694,0.87128,0.91052,0.89244,0.62893,0.84834,0.75508,0.5394,1.09208,0.00049925,0.00049925,0.00049925
93,224.119,0.596,0.72204,0.43008,0.95388,0.95087,0.98413,0.9678,0.7024,0.87722,0.91052,0.89759,0.62379,0.81143,0.75551,0.53437,1.067,0.000491,0.000491,0.000491
94,226.501,0.57429,0.71211,0.42641,0.94963,0.90002,0.97663,0.95943,0.69399,0.8618,0.90669,0.89338,0.62601,0.77741,0.76733,0.53181,1.0504,0.00048275,0.00048275,0.00048275
